symbol,perp_symbol,spot_symbol,enabled
BTCUSDT, BTCUSDT,BTCUSDT,1
ETHUSDT,ETHUSDT,ETHUSDT,1
PUMPUSDT,PUMPUSDT,,1
SKLUSDT,SKLUSDT,SKLUSDT,1
MAGICUSDT,MAGICUSDT,MAGICUSDT,1
1000BONKUSDT,1000BONKUSDT,BONKUSDT,1
1000PEPEUSDT,1000PEPEUSDT,PEPEUSDT,1
XRPUSDT,XRPUSDT,XRPUSDT,1
GOATUSDT,GOATUSDT,,1
PENGUUSDT,PENGUUSDT,PENGUUSDT,1
ZKUSDT,ZKUSDT,ZKUSDT,1
ENAUSDT,ENAUSDT,ENAUSDT,1
UMAUSDT,UMAUSDT,UMAUSDT,1
ILVUSDT,ILVUSDT,ILVUSDT,1
SOLUSDT,SOLUSDT,SOLUSDT,1
DOGEUSDT,DOGEUSDT,DOGEUSDT,1
1000FLOKIUSDT,1000FLOKIUSDT,FLOKIUSDT,1
XAIUSDT,XAIUSDT,XAIUSDT,1
ALTUSDT,ALTUSDT,ALTUSDT,1
TRUMPUSDT,TRUMPUSDT,TRUMPUSDT,1
ARBUSDT,ARBUSDT,ARBUSDT,1
SAHARAUSDT,SAHARAUSDT,SAHARAUSDT,1
ASRUSDT,ASRUSDT,ASRUSDT,1
ETHFIUSDT,ETHFIUSDT,ETHFIUSDT,1
MEMEUSDT,MEMEUSDT,MEMEUSDT,1
AVAXUSDT,AVAXUSDT,AVAXUSDT,1
SYNUSDT,SYNUSDT,SYNUSDT,1
PNUTUSDT,PNUTUSDT,PNUTUSDT,1
JASMYUSDT,JASMYUSDT,JASMYUSDT,1
TIAUSDT,TIAUSDT,TIAUSDT,1
ADAUSDT,ADAUSDT,ADAUSDT,1
EIGENUSDT,EIGENUSDT,EIGENUSDT,1
IOUSDT,IOUSDT,IOUSDT,1
TRXUSDT,TRXUSDT,TRXUSDT,1
LRCUSDT,LRCUSDT,LRCUSDT,1
CHZUSDT,CHZUSDT,CHZUSDT,1
RDNTUSDT,RDNTUSDT,RDNTUSDT,1
STRKUSDT,STRKUSDT,STRKUSDT,1
SUIUSDT,SUIUSDT,SUIUSDT,1
ZROUSDT,ZROUSDT,ZROUSDT,1
1000SHIBUSDT,1000SHIBUSDT,SHIBUSDT,1
WIFUSDT,WIFUSDT,WIFUSDT,1
SUSDT,SUSDT,SUSDT,1
SPELLUSDT,SPELLUSDT,SPELLUSDT,1
LDOUSDT,LDOUSDT,LDOUSDT,1
SEIUSDT,SEIUSDT,SEIUSDT,1
TURBOUSDT,TURBOUSDT,TURBOUSDT,1
VANRYUSDT,VANRYUSDT,VANRYUSDT,1
HOTUSDT,HOTUSDT,HOTUSDT,1
MINAUSDT,MINAUSDT,MINAUSDT,1
WLDUSDT,WLDUSDT,WLDUSDT,1
RAYSOLUSDT,RAYSOLUSDT,,1
XTZUSDT,XTZUSDT,XTZUSDT,1
INJUSDT,INJUSDT,INJUSDT,1
COWUSDT,COWUSDT,COWUSDT,1
CRVUSDT,CRVUSDT,CRVUSDT,1
AUSDT,AUSDT,AUSDT,1
STGUSDT,STGUSDT,STGUSDT,1
LTCUSDT,LTCUSDT,LTCUSDT,1
XCNUSDT,XCNUSDT,,1
FETUSDT,FETUSDT,FETUSDT,1
GALAUSDT,GALAUSDT,GALAUSDT,1
PENDLEUSDT,PENDLEUSDT,PENDLEUSDT,1
LAYERUSDT,LAYERUSDT,LAYERUSDT,1
MOVEUSDT,MOVEUSDT,MOVEUSDT,1
KAITOUSDT,KAITOUSDT,KAITOUSDT,1
WUSDT,WUSDT,WUSDT,1
LINKUSDT,LINKUSDT,LINKUSDT,1
